EM31374-19May2015-1453.xls,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3
508 records,5TM,5TM,5TM,5TM,5TM,5TM
Measurement Time,m³/m³ VWC,°C Temp,m³/m³ VWC,°C Temp,m³/m³ VWC,°C Temp
5/8/2015 3:30:00 AM,0.34,16.6,***,***,***,***
5/8/2015 4:00:00 AM,0.34,16.4,***,***,***,***
5/8/2015 4:30:00 AM,0.34,16.3,***,***,***,***
5/8/2015 5:00:00 AM,0.34,16.1,***,***,***,***
5/8/2015 5:30:00 AM,0.34,15.9,***,***,***,***
5/8/2015 6:00:00 AM,0.34,15.8,***,***,***,***
5/8/2015 6:30:00 AM,0.34,15.7,***,***,***,***
5/8/2015 7:00:00 AM,0.34,15.5,***,***,***,***
5/8/2015 7:30:00 AM,0.34,15.4,***,***,***,***
5/8/2015 8:00:00 AM,0.34,15.3,***,***,***,***
5/8/2015 8:30:00 AM,0.34,15.2,***,***,***,***
5/8/2015 9:00:00 AM,0.34,15.2,***,***,***,***
5/8/2015 9:30:00 AM,0.34,15.2,***,***,***,***
5/8/2015 10:00:00 AM,0.34,15.3,***,***,***,***
5/8/2015 10:30:00 AM,0.34,15.4,***,***,***,***
5/8/2015 11:00:00 AM,0.34,15.6,***,***,***,***
5/8/2015 11:30:00 AM,0.34,15.7,***,***,***,***
5/8/2015 12:00:00 PM,0.34,16.0,***,***,***,***
5/8/2015 12:30:00 PM,0.34,16.2,***,***,***,***
5/8/2015 1:00:00 PM,0.34,16.4,***,***,***,***
5/8/2015 1:30:00 PM,0.34,16.7,***,***,***,***
5/8/2015 2:00:00 PM,0.34,17.2,***,***,***,***
5/8/2015 2:30:00 PM,0.34,17.8,0.33,16.0,0.33,15.6
5/8/2015 3:00:00 PM,0.35,18.5,0.33,16.1,0.33,15.6
5/8/2015 3:30:00 PM,0.35,19.2,0.33,16.3,0.33,15.6
5/8/2015 4:00:00 PM,0.35,19.9,0.33,16.6,0.33,15.6
5/8/2015 4:30:00 PM,0.35,20.4,0.33,16.8,0.33,15.7
5/8/2015 5:00:00 PM,0.35,20.7,0.33,17.1,0.33,15.7
5/8/2015 5:30:00 PM,0.35,20.9,0.33,17.4,0.33,15.7
5/8/2015 6:00:00 PM,0.35,21.1,0.33,17.6,0.33,15.8
5/8/2015 6:30:00 PM,0.35,21.1,0.33,17.9,0.33,15.9
5/8/2015 7:00:00 PM,0.35,21.0,0.33,18.0,0.33,15.9
5/8/2015 7:30:00 PM,0.35,20.7,0.34,18.2,0.33,16.0
5/8/2015 8:00:00 PM,0.35,20.4,0.34,18.3,0.33,16.1
5/8/2015 8:30:00 PM,0.35,20.0,0.34,18.3,0.33,16.2
5/8/2015 9:00:00 PM,0.35,19.5,0.33,18.3,0.33,16.2
5/8/2015 9:30:00 PM,0.35,19.0,0.33,18.2,0.33,16.3
5/8/2015 10:00:00 PM,0.35,18.6,0.33,18.2,0.33,16.4
5/8/2015 10:30:00 PM,0.35,18.2,0.33,18.0,0.33,16.4
5/8/2015 11:00:00 PM,0.35,17.8,0.33,17.9,0.33,16.5
5/8/2015 11:30:00 PM,0.35,17.4,0.33,17.7,0.33,16.5
5/9/2015 12:00:00 AM,0.34,17.1,0.33,17.6,0.33,16.5
5/9/2015 12:30:00 AM,0.34,16.8,0.33,17.4,0.33,16.5
5/9/2015 1:00:00 AM,0.34,16.5,0.33,17.2,0.33,16.5
5/9/2015 1:30:00 AM,0.34,16.2,0.33,17.1,0.33,16.5
5/9/2015 2:00:00 AM,0.34,16.0,0.33,16.9,0.33,16.5
5/9/2015 2:30:00 AM,0.34,15.8,0.33,16.8,0.33,16.5
5/9/2015 3:00:00 AM,0.34,15.6,0.33,16.6,0.33,16.4
5/9/2015 3:30:00 AM,0.34,15.4,0.33,16.4,0.33,16.4
5/9/2015 4:00:00 AM,0.34,15.2,0.33,16.3,0.33,16.3
5/9/2015 4:30:00 AM,0.34,15.0,0.33,16.2,0.33,16.3
5/9/2015 5:00:00 AM,0.34,14.8,0.33,16.0,0.33,16.2
5/9/2015 5:30:00 AM,0.34,14.6,0.33,15.9,0.33,16.2
5/9/2015 6:00:00 AM,0.34,14.4,0.33,15.7,0.33,16.1
5/9/2015 6:30:00 AM,0.34,14.2,0.33,15.6,0.33,16.1
5/9/2015 7:00:00 AM,0.34,14.0,0.33,15.5,0.33,16.0
5/9/2015 7:30:00 AM,0.34,13.8,0.33,15.3,0.33,15.9
5/9/2015 8:00:00 AM,0.34,13.7,0.33,15.2,0.33,15.9
5/9/2015 8:30:00 AM,0.34,13.6,0.33,15.1,0.33,15.8
5/9/2015 9:00:00 AM,0.34,13.7,0.33,14.9,0.33,15.7
5/9/2015 9:30:00 AM,0.34,13.9,0.33,14.8,0.33,15.7
5/9/2015 10:00:00 AM,0.34,14.2,0.33,14.8,0.33,15.6
5/9/2015 10:30:00 AM,0.34,14.6,0.33,14.8,0.33,15.5
5/9/2015 11:00:00 AM,0.34,15.1,0.33,14.8,0.33,15.5
5/9/2015 11:30:00 AM,0.34,15.7,0.33,14.8,0.33,15.4
5/9/2015 12:00:00 PM,0.34,16.5,0.33,15.0,0.33,15.4
5/9/2015 12:30:00 PM,0.34,17.4,0.33,15.2,0.33,15.3
5/9/2015 1:00:00 PM,0.35,18.3,0.33,15.4,0.33,15.3
5/9/2015 1:30:00 PM,0.35,19.2,0.33,15.7,0.33,15.3
5/9/2015 2:00:00 PM,0.35,20.1,0.33,16.0,0.33,15.3
5/9/2015 2:30:00 PM,0.35,21.0,0.33,16.4,0.33,15.3
5/9/2015 3:00:00 PM,0.36,21.7,0.33,16.8,0.33,15.3
5/9/2015 3:30:00 PM,0.36,22.2,0.33,17.2,0.33,15.4
5/9/2015 4:00:00 PM,0.36,22.7,0.33,17.7,0.33,15.5
5/9/2015 4:30:00 PM,0.36,23.0,0.33,18.0,0.33,15.6
5/9/2015 5:00:00 PM,0.36,23.2,0.34,18.4,0.33,15.7
5/9/2015 5:30:00 PM,0.36,23.2,0.34,18.7,0.33,15.8
5/9/2015 6:00:00 PM,0.36,23.2,0.34,19.0,0.33,15.9
5/9/2015 6:30:00 PM,0.36,23.1,0.34,19.2,0.33,16.0
5/9/2015 7:00:00 PM,0.36,22.9,0.34,19.4,0.33,16.2
5/9/2015 7:30:00 PM,0.36,22.5,0.34,19.6,0.33,16.3
5/9/2015 8:00:00 PM,0.36,22.1,0.34,19.7,0.33,16.5
5/9/2015 8:30:00 PM,0.35,21.7,0.34,19.7,0.33,16.6
5/9/2015 9:00:00 PM,0.35,21.3,0.34,19.7,0.33,16.7
5/9/2015 9:30:00 PM,0.35,20.8,0.34,19.6,0.33,16.8
5/9/2015 10:00:00 PM,0.35,20.5,0.34,19.4,0.33,16.9
5/9/2015 10:30:00 PM,0.35,20.1,0.34,19.4,0.33,17.0
5/9/2015 11:00:00 PM,0.35,19.8,0.34,19.2,0.33,17.0
5/9/2015 11:30:00 PM,0.35,19.5,0.34,19.1,0.33,17.1
5/10/2015 12:00:00 AM,0.35,19.2,0.34,19.0,0.33,17.1
5/10/2015 12:30:00 AM,0.35,18.9,0.33,18.8,0.33,17.2
5/10/2015 1:00:00 AM,0.35,18.7,0.33,18.7,0.33,17.2
