EM30506-19May2015-1452.xls,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3
509 records,5TM,5TM,5TM,5TM,5TM,5TM
Measurement Time,m³/m³ VWC,°C Temp,m³/m³ VWC,°C Temp,m³/m³ VWC,°C Temp
5/8/2015 3:00:00 AM,0.22,16.7,0.27,17.1,0.25,16.4
5/8/2015 3:30:00 AM,0.22,16.5,0.27,17.0,0.25,16.4
5/8/2015 4:00:00 AM,0.22,16.4,0.27,16.9,0.24,16.4
5/8/2015 4:30:00 AM,0.22,16.2,0.27,16.8,0.24,16.3
5/8/2015 5:00:00 AM,0.22,16.0,0.27,16.6,0.24,16.2
5/8/2015 5:30:00 AM,0.22,15.9,0.27,16.5,0.24,16.2
5/8/2015 6:00:00 AM,0.22,15.7,0.27,16.4,0.24,16.1
5/8/2015 6:30:00 AM,0.22,15.6,0.27,16.3,0.24,16.0
5/8/2015 7:00:00 AM,0.22,15.5,0.27,16.2,0.24,16.0
5/8/2015 7:30:00 AM,0.22,15.4,0.27,16.1,0.24,15.9
5/8/2015 8:00:00 AM,0.22,15.3,0.27,16.0,0.24,15.9
5/8/2015 8:30:00 AM,0.22,15.2,0.27,15.9,0.24,15.8
5/8/2015 9:00:00 AM,0.22,15.3,0.27,15.8,0.24,15.7
5/8/2015 9:30:00 AM,0.22,15.4,0.27,15.7,0.24,15.7
5/8/2015 10:00:00 AM,0.22,15.5,0.27,15.7,0.24,15.6
5/8/2015 10:30:00 AM,0.22,15.6,0.27,15.7,0.24,15.6
5/8/2015 11:00:00 AM,0.22,15.8,0.27,15.7,0.24,15.5
5/8/2015 11:30:00 AM,0.22,16.0,0.27,15.7,0.24,15.5
5/8/2015 12:00:00 PM,0.22,16.3,0.27,15.7,0.24,15.4
5/8/2015 12:30:00 PM,0.22,16.6,0.27,15.7,0.24,15.4
5/8/2015 1:00:00 PM,0.23,16.7,0.27,15.8,0.24,15.4
5/8/2015 1:30:00 PM,0.23,17.0,0.27,15.9,0.24,15.4
5/8/2015 2:00:00 PM,0.23,17.6,0.27,16.0,0.24,15.4
5/8/2015 2:30:00 PM,0.23,18.3,0.27,16.1,0.24,15.4
5/8/2015 3:00:00 PM,0.23,19.1,0.27,16.3,0.25,15.4
5/8/2015 3:30:00 PM,0.23,20.0,0.27,16.6,0.25,15.5
5/8/2015 4:00:00 PM,0.24,20.7,0.27,16.9,0.25,15.5
5/8/2015 4:30:00 PM,0.24,21.1,0.27,17.2,0.25,15.6
5/8/2015 5:00:00 PM,0.24,21.4,0.27,17.5,0.25,15.7
5/8/2015 5:30:00 PM,0.24,21.7,0.27,17.8,0.25,15.8
5/8/2015 6:00:00 PM,0.24,21.7,0.27,18.1,0.25,15.9
5/8/2015 6:30:00 PM,0.24,21.7,0.27,18.3,0.25,16.0
5/8/2015 7:00:00 PM,0.24,21.4,0.27,18.4,0.25,16.2
5/8/2015 7:30:00 PM,0.24,21.0,0.27,18.5,0.25,16.3
5/8/2015 8:00:00 PM,0.24,20.5,0.27,18.6,0.25,16.4
5/8/2015 8:30:00 PM,0.24,19.9,0.27,18.5,0.25,16.5
5/8/2015 9:00:00 PM,0.23,19.2,0.27,18.5,0.25,16.6
5/8/2015 9:30:00 PM,0.23,18.6,0.27,18.3,0.25,16.6
5/8/2015 10:00:00 PM,0.23,18.1,0.27,18.2,0.25,16.7
5/8/2015 10:30:00 PM,0.23,17.6,0.27,18.0,0.25,16.6
5/8/2015 11:00:00 PM,0.23,17.2,0.27,17.8,0.25,16.6
5/8/2015 11:30:00 PM,0.23,16.8,0.27,17.5,0.25,16.6
5/9/2015 12:00:00 AM,0.23,16.4,0.27,17.3,0.25,16.6
